Account,date,daily_pnl,trade_count,total_volume,side_bias,win_rate,classification,value,segment
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-11-18,693.220788,9,1677.08,-1.0,1.0,Extreme Greed,83,Retail
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,338240.0,1.0,0.0,Extreme Greed,94,Whale
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,141.21958999999998,433,182730.29,-0.03926096997690531,0.5895196506550219,Extreme Greed,94,Retail
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-22,-260.909686,57,403420.25,-0.08771929824561403,0.0967741935483871,Extreme Greed,94,Whale
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-11-22,1050.894,22,65796.23,0.36363636363636365,1.0,Extreme Greed,94,Retail
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-22,1825.01255,18,301850.83,-0.3333333333333333,1.0,Extreme Greed,94,Whale
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-22,365.437929,137,354676.02,-0.12408759124087591,0.8524590163934426,Extreme Greed,94,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,465700.0,-0.1111111111111111,1.0,Extreme Greed,79,Whale
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,-508.290641,217,219729.39,0.17050691244239632,0.6551724137931034,Extreme Greed,79,Retail
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-11-26,0.0,36,36446.43,1.0,0.0,Extreme Greed,79,Retail
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-26,0.0,22,425026.62,1.0,0.0,Extreme Greed,79,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,1316799.98,1.0,0.0,Extreme Greed,77,Whale
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,165.532644,207,195837.9,0.12077294685990338,0.6782608695652174,Extreme Greed,77,Retail
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-11-28,3855.7522,25,40302.17,-1.0,1.0,Extreme Greed,77,Retail
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-28,1174.315571,12,338785.3,0.5,1.0,Extreme Greed,77,Whale
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-28,0.0,6,2499.8,-1.0,0.0,Extreme Greed,77,Retail
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,1116918.77,-1.0,0.0,Extreme Greed,84,Whale
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,135847.3,-0.7090909090909091,1.0,Extreme Greed,84,Retail
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,5590.528248,154,48590.47,-0.22077922077922077,0.8160919540229885,Extreme Greed,84,Retail
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-30,59.744873999999996,6,41658.18,0.3333333333333333,1.0,Extreme Greed,84,Retail
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-11-30,19050.661786,39,99705.14,-0.6410256410256411,1.0,Extreme Greed,84,Retail
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-11-30,8.570313,8,1996.67,0.75,1.0,Extreme Greed,84,Retail
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-30,850.54514,12,239121.3,1.0,1.0,Extreme Greed,84,Retail
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-30,40.699929,76,48355.87,-0.868421052631579,1.0,Extreme Greed,84,Retail
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,1212299.96,1.0,0.0,Greed,72,Whale
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,48513.58,1.0,0.0,Greed,72,Retail
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,389.176232,69,8956.57,-0.21739130434782608,1.0,Greed,72,Retail
