Account,date,daily_pnl,vol,trades,bias,win_rate,classification,value,segment,strategy_signal
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,4008.012049,13732.33,86,-0.5348837209302325,1.0,Extreme Greed,75,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,554.009942,7922.52,102,-0.39215686274509803,1.0,Extreme Greed,79,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,768.430838,18772.08,213,0.5868544600938967,0.9767441860465116,Extreme Greed,78,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,980.557461,18780.69,157,0.49044585987261147,0.9636363636363636,Extreme Greed,78,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,1582.001112,11570.32,93,-0.6559139784946236,0.8,Greed,74,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,22071.36,147,-0.6190476190476191,0.9425287356321839,Extreme Greed,83,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,1522.284412,13731.75,155,0.07096774193548387,0.8658536585365854,Extreme Greed,76,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,13281.73126,28880.56,154,-0.4155844155844156,0.9754098360655737,Extreme Greed,83,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,5389.96219,17125.99,137,-0.10948905109489052,0.9577464788732394,Extreme Greed,80,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,13190.248859,30184.81,230,-0.2608695652173913,0.9871794871794872,Extreme Greed,83,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,4454.939378,20394.48,181,0.08287292817679558,0.9873417721518988,Extreme Greed,87,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,3624.489655,23859.85,191,0.06806282722513089,0.9411764705882353,Extreme Greed,81,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,1525.329937,40188.99,204,0.5588235294117647,0.851063829787234,Extreme Greed,75,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,7812.716373,56183.31,194,-0.3402061855670103,0.9173553719008265,Greed,74,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,7465.899936,23041.15,107,-0.514018691588785,0.9818181818181818,Greed,73,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,1174.025529,13811.95,79,0.13924050632911392,0.9761904761904762,Greed,73,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,122.889996,20168.95,95,0.8105263157894737,0.9666666666666667,Greed,70,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,1555.956456,13556.33,48,-0.625,0.9375,Greed,73,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,1530.919365,18751.64,66,-0.6363636363636364,0.8333333333333334,Greed,73,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,101.860928,18806.8,84,0.7142857142857143,0.9032258064516129,Extreme Greed,79,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,388.366016,16192.710000000001,73,0.0958904109589041,1.0,Greed,74,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,506.512551,10479.52,63,0.1111111111111111,0.7666666666666667,Greed,72,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,115.51218300000001,4793.72,34,-0.5882352941176471,1.0,Greed,73,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,255.808312,56954.43,125,0.744,0.9767441860465116,Greed,65,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,496.221792,119958.51,107,0.06542056074766354,0.9696969696969697,Greed,64,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,109.82694000000001,15537.51,59,0.4915254237288136,1.0,Greed,66,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,416.546688,21987.03,101,-0.504950495049505,0.9787234042553191,Greed,70,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,250.581483,14983.43,69,-0.014492753623188406,0.9230769230769231,Greed,74,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,232.66549799999999,12691.32,81,-0.20987654320987653,0.8333333333333334,Greed,73,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,87.752181,8297.09,82,-0.04878048780487805,0.9361702127659575,Greed,72,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,114.68421000000001,6566.03,80,-0.55,1.0,Extreme Greed,76,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,267.846227,10681.19,103,0.6893203883495146,0.9473684210526315,Extreme Greed,78,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,651.469355,73008.96,149,0.4899328859060403,0.9139784946236559,Greed,70,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,571.688942,75026.01,103,0.24271844660194175,1.0,Greed,69,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,401.706348,43858.12,84,-0.19047619047619047,0.925,Neutral,50,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-11,157.228232,17918.2,37,-0.02702702702702703,0.8888888888888888,Greed,69,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-12,274.773033,28122.33,63,-0.07936507936507936,0.975,Greed,62,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-13,53.846609,34244.06,61,0.6065573770491803,1.0,Greed,61,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-14,894.564828,41818.27,42,-0.8095238095238095,0.9714285714285714,Greed,63,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-15,55.137803,4560.2,19,0.05263157894736842,1.0,Greed,70,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-16,238.995461,11862.92,87,-0.4482758620689655,1.0,Extreme Greed,75,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-17,168.92152,8297.74,70,0.05714285714285714,0.9722222222222222,Extreme Greed,75,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-18,594.135892,50558.590000000004,259,-0.011583011583011582,0.9813084112149533,Extreme Greed,77,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-19,102.504343,28651.9,184,-0.3695652173913043,0.8777777777777778,Extreme Greed,77,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-20,608.885905,28690.59,169,0.3609467455621302,0.9583333333333334,Extreme Greed,76,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-21,428.3738,24660.77,94,0.02127659574468085,0.8679245283018868,Extreme Greed,76,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-22,589.467131,13532.53,112,0.017857142857142856,0.9444444444444444,Extreme Greed,84,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-23,229.609892,15723.44,122,0.47540983606557374,0.9344262295081968,Extreme Greed,75,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-24,347.22838,17405.58,120,-0.016666666666666666,0.967741935483871,Extreme Greed,75,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-25,124.70498799999999,28493.72,118,0.23728813559322035,0.9215686274509803,Extreme Greed,75,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-26,273.211119,35426.18,106,0.07547169811320754,0.96,Greed,73,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-27,838.930696,327978.27999999997,268,0.14925373134328357,0.9421487603305785,Greed,71,Whale,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-28,1019.55769,94256.64,151,-0.0728476821192053,0.9146341463414634,Greed,72,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-29,152.618804,14317.3,42,0.047619047619047616,1.0,Greed,72,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-30,1234.2072,33889.56,86,-0.4186046511627907,0.8870967741935484,Greed,70,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-31,755.916254,18338.89,49,-0.5510204081632653,0.95,Extreme Greed,76,Retail,HOLD
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,3.536668000000001,53933.29,51,0.17647058823529413,0.7241379310344828,Greed,68,Retail,HOLD
